Network:,"[784, 10, 10]",Neurons:,sigmoid
Epochs:,4,Mini_Batch_Size:,20
Init:,all_zero,Learning_Rate:,0.25
Optimisation:,L2,10
Cost Function:,CrossEntropyCost
----------------,-------------------,--------------------,-------------------,---------------------,-----------------
Epoch,Training Data Cost,Traning Data Accuracy,Evaluation Data Cost,Evaluation Data Accuracy,Time
1,2.1746482806446887,0.54756,2.1439031281796264,0.5603,7.917981999999999
2,2.1018100220849756,0.56874,2.0707937260342599,0.5825,15.781647999999997
3,2.047854802117,0.58922,2.0189748144628243,0.6011,23.811096999999997
4,2.0231699799774017,0.58584,2.0018419621884562,0.5883,31.889274
----------------,-------------------,--------------------,-------------------,---------------------,-----------------
----------------,-------------------,--------------------,-------------------,---------------------,-----------------
Network:,"[784, 10, 10]",Neurons:,sigmoid
Epochs:,4,Mini_Batch_Size:,20
Init:,all_zero,Learning_Rate:,10
Optimisation:,L2,10
Cost Function:,CrossEntropyCost
----------------,-------------------,--------------------,-------------------,---------------------,-----------------
Epoch,Training Data Cost,Traning Data Accuracy,Evaluation Data Cost,Evaluation Data Accuracy,Time
1,0.0,0.09864,0.0,0.0991,8.787594
2,0.0,0.09864,0.0,0.0991,19.917507999999998
3,0.0,0.09864,0.0,0.0991,29.105527999999996
4,0.0,0.09864,0.0,0.0991,38.5951
----------------,-------------------,--------------------,-------------------,---------------------,-----------------
----------------,-------------------,--------------------,-------------------,---------------------,-----------------
Network:,"[784, 10, 10]",Neurons:,sigmoid
Epochs:,4,Mini_Batch_Size:,20
Init:,all_zero,Learning_Rate:,0.1
Optimisation:,L2,10
Cost Function:,CrossEntropyCost
----------------,-------------------,--------------------,-------------------,---------------------,-----------------
Epoch,Training Data Cost,Traning Data Accuracy,Evaluation Data Cost,Evaluation Data Accuracy,Time
1,0.0,0.25134,0.0,0.2451,8.857564
2,0.0,0.49192,0.0,0.5039,17.784720999999998
3,0.0,0.5246,0.0,0.5334,26.554651999999997
4,0.0,0.56622,0.0,0.5751,34.96805799999999
----------------,-------------------,--------------------,-------------------,---------------------,-----------------
----------------,-------------------,--------------------,-------------------,---------------------,-----------------
Network:,"[784, 10, 10]",Neurons:,tanh
Epochs:,4,Mini_Batch_Size:,20
Init:,default,Learning_Rate:,0.1
Optimisation:,L2,10
Cost Function:,CrossEntropyCost
----------------,-------------------,--------------------,-------------------,---------------------,-----------------
Epoch,Training Data Cost,Traning Data Accuracy,Evaluation Data Cost,Evaluation Data Accuracy,Time
1,0.0,0.80056,0.0,0.8131,7.4345479999999995
2,0.0,0.86648,0.0,0.878,15.266529
3,0.0,0.87496,0.0,0.8823,22.763669
4,0.0,0.88576,0.0,0.8928,30.226981000000002
----------------,-------------------,--------------------,-------------------,---------------------,-----------------
----------------,-------------------,--------------------,-------------------,---------------------,-----------------
Network:,"[784, 10, 10]",Neurons:,tanh
Epochs:,4,Mini_Batch_Size:,20
Init:,default,Learning_Rate:,0.1
Optimisation:,L1,10
Cost Function:,CrossEntropyCost
----------------,-------------------,--------------------,-------------------,---------------------,-----------------
Epoch,Training Data Cost,Traning Data Accuracy,Evaluation Data Cost,Evaluation Data Accuracy,Time
1,0.0,0.09864,0.0,0.0991,7.4057900000000005
2,0.0,0.09864,0.0,0.0991,14.943407
3,0.0,0.09864,0.0,0.0991,22.75123
4,0.0,0.09864,0.0,0.0991,30.402855000000002
----------------,-------------------,--------------------,-------------------,---------------------,-----------------
----------------,-------------------,--------------------,-------------------,---------------------,-----------------
Network:,"[784, 10, 10]",Neurons:,tanh
Epochs:,4,Mini_Batch_Size:,20
Init:,default,Learning_Rate:,0.1
Optimisation:,L1,10
Cost Function:,CrossEntropyCost
----------------,-------------------,--------------------,-------------------,---------------------,-----------------
Epoch,Training Data Cost,Traning Data Accuracy,Evaluation Data Cost,Evaluation Data Accuracy,Time
1,0.0,0.41078,0.0,0.4147,7.310070999999999
2,0.0,0.49494,0.0,0.5003,14.467749000000001
3,0.0,0.49458,0.0,0.5053,21.805712000000003
4,0.0,0.448,0.0,0.4646,29.232594000000002
----------------,-------------------,--------------------,-------------------,---------------------,-----------------
----------------,-------------------,--------------------,-------------------,---------------------,-----------------
Network:,"[784, 10, 10]",Neurons:,tanh
Epochs:,4,Mini_Batch_Size:,20
Init:,default,Learning_Rate:,0.25
Optimisation:,L1,10
Cost Function:,CrossEntropyCost
----------------,-------------------,--------------------,-------------------,---------------------,-----------------
Epoch,Training Data Cost,Traning Data Accuracy,Evaluation Data Cost,Evaluation Data Accuracy,Time
1,0.0,0.27748,0.0,0.2731,7.11121
2,0.0,0.32488,0.0,0.33,14.393110000000002
3,0.0,0.3817,0.0,0.3874,21.974418
4,0.0,0.09718,0.0,0.0983,29.745759999999997
----------------,-------------------,--------------------,-------------------,---------------------,-----------------
----------------,-------------------,--------------------,-------------------,---------------------,-----------------
Network:,"[784, 10, 10]",Neurons:,tanh
Epochs:,4,Mini_Batch_Size:,20
Init:,default,Learning_Rate:,0.25
Optimisation:,L2,10
Cost Function:,CrossEntropyCost
----------------,-------------------,--------------------,-------------------,---------------------,-----------------
Epoch,Training Data Cost,Traning Data Accuracy,Evaluation Data Cost,Evaluation Data Accuracy,Time
Network:,"[784, 10, 10]",Neurons:,tanh
Epochs:,4,Mini_Batch_Size:,20
Init:,default,Learning_Rate:,0.25
Optimisation:,L2,10
Cost Function:,CrossEntropyCost
----------------,-------------------,--------------------,-------------------,---------------------,-----------------
Epoch,Training Data Cost,Traning Data Accuracy,Evaluation Data Cost,Evaluation Data Accuracy,Time
1,0.0,0.82546,0.0,0.8331,7.334628
2,0.0,0.7282,0.0,0.7379,14.451152000000002
3,0.0,0.78114,0.0,0.7792,21.964984
4,0.0,0.87512,0.0,0.8788,31.169208000000005
----------------,-------------------,--------------------,-------------------,---------------------,-----------------
----------------,-------------------,--------------------,-------------------,---------------------,-----------------
